=== ROOT CATEGORIES (parent=0) ===

    [OLD] [5933] Eachine (slug: eachine-камеры, actual: 0, stored: 0)
    [OLD] [5934] Skydroid (slug: skydroid-камеры, actual: 0, stored: 0)
    [OLD] [5935] Slonwake (slug: slonwake, actual: 0, stored: 0)
    [OLD] [6083] NAVITEL (slug: navitel, actual: 0, stored: 0)
    [OLD] [6366] Logitech (slug: logitech, actual: 0, stored: 0)
    [OLD] [6424] Khadas (slug: khadas-камеры, actual: 0, stored: 0)
    [OLD] [6425] Uniview (slug: uniview, actual: 0, stored: 0)
    [OLD] [6450] GoPro (slug: gopro-камеры, actual: 0, stored: 0)
    [OLD] [6453] Hikvision (slug: hikvision, actual: 0, stored: 0)
    [OLD] [6605] Aocoda-RC (slug: aocoda-rc-камеры, actual: 0, stored: 0)
    [OLD] [6678] Boscam (slug: boscam-камеры, actual: 0, stored: 0)
    [OLD] [6682] DarwinFPV (slug: darwinfpv-камеры, actual: 0, stored: 0)
    [OLD] [6767] SIYI (slug: siyi-камеры, actual: 0, stored: 0)
    [OLD] [6883] Insta360 (slug: insta360-камеры, actual: 0, stored: 0)
    [OLD] [7216] Autel (slug: autel-камеры, actual: 0, stored: 0)
    [OLD] [7217] Zenchansi (slug: zenchansi, actual: 0, stored: 0)
    [OLD] [7230] Topotek (slug: topotek, actual: 0, stored: 0)
    [OLD] [7300] Orange Pi (slug: orange-pi-камеры, actual: 0, stored: 0)
    [OLD] [7617] CHNSpec (slug: chnspec, actual: 0, stored: 0)
    [OLD] [8003] FLIR (slug: flir-камеры, actual: 0, stored: 0)
    [OLD] [8005] SingTown (slug: singtown, actual: 0, stored: 0)
    [OLD] [8007] Sipeed (slug: sipeed-камеры, actual: 0, stored: 0)
    [OLD] [8009] Stereolabs (slug: stereolabs, actual: 0, stored: 0)
  [OLD] [759] Устройство видеозахвата (slug: устройство-видеозахвата, actual: 0, stored: 0)
  [OLD] [844] Аксессуары (slug: аксессуары-фото-и-видео, actual: 0, stored: 0)
  [OLD] [3189] Стабилизаторы (slug: стабилизаторы, actual: 0, stored: 0)
  [OLD] [3204] Карты памяти (slug: карты-памяти, actual: 0, stored: 0)
[OLD] [753] Инструмент (slug: инструмент, actual: 0, stored: 0)
  [OLD] [754] Наборы фрез (slug: наборы-фрез, actual: 0, stored: 0)
  [OLD] [852] Зажимы (slug: зажимы, actual: 0, stored: 0)
  [OLD] [853] Тенты (slug: тенты, actual: 0, stored: 0)
  [OLD] [854] Электричество (slug: электричество, actual: 0, stored: 0)
